"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00003952","1976-11-01","34.8353","-92.2596","171.6","NORTH LITTLE ROCK WEATHER FORECAST OFFICE, AR US","    0",",,0,2400","    0",",,0","    0",",,0","  156",",,0","   11",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003952","1976-11-02","34.8353","-92.2596","171.6","NORTH LITTLE ROCK WEATHER FORECAST OFFICE, AR US","    0",",,0,2400","    0",",,0","    0",",,0","  194",",,0","   50",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003952","1976-11-03","34.8353","-92.2596","171.6","NORTH LITTLE ROCK WEATHER FORECAST OFFICE, AR US","    0",",,0,2400","    0",",,0","    0",",,0","  178",",,0","   83",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003952","1976-11-04","34.8353","-92.2596","171.6","NORTH LITTLE ROCK WEATHER FORECAST OFFICE, AR US","    0",",,0,2400","    0",",,0","    0",",,0","  117",",,0","  -11",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003952","1976-11-05","34.8353","-92.2596","171.6","NORTH LITTLE ROCK WEATHER FORECAST OFFICE, AR US","    0",",,0,2400","    0",",,0","    0",",,0","  106",",,0","  -39",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003952","1976-11-06","34.8353","-92.2596","171.6","NORTH LITTLE ROCK WEATHER FORECAST OFFICE, AR US","    0",",,0,2400","    0",",,0","    0",",,0","  206",",,0","    6",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003952","1976-11-07","34.8353","-92.2596","171.6","NORTH LITTLE ROCK WEATHER FORECAST OFFICE, AR US","    0",",,0,2400","    0",",,0","    0",",,0","  144",",,0","   44",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003952","1976-11-08","34.8353","-92.2596","171.6","NORTH LITTLE ROCK WEATHER FORECAST OFFICE, AR US","    0",",,0,2400","    0",",,0","    0",",,0","  111",",,0","  -11",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003952","1976-11-09","34.8353","-92.2596","171.6","NORTH LITTLE ROCK WEATHER FORECAST OFFICE, AR US","    0",",,0,2400","    0",",,0","    0",",,0","  211",",,0","   50",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003952","1976-11-10","34.8353","-92.2596","171.6","NORTH LITTLE ROCK WEATHER FORECAST OFFICE, AR US","    0",",,0,2400","    0",",,0","    0",",,0","  206",",,0","  106",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
