"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","FRGT","FRGT_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00012916","1945-10-01","29.99755","-90.27772","-1.0","NEW ORLEANS AIRPORT, LA US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  273","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","1945-10-02","29.99755","-90.27772","-1.0","NEW ORLEANS AIRPORT, LA US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  272","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","1945-10-03","29.99755","-90.27772","-1.0","NEW ORLEANS AIRPORT, LA US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  253","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","1945-10-04","29.99755","-90.27772","-1.0","NEW ORLEANS AIRPORT, LA US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  252","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","1945-10-05","29.99755","-90.27772","-1.0","NEW ORLEANS AIRPORT, LA US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  257","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","1945-10-06","29.99755","-90.27772","-1.0","NEW ORLEANS AIRPORT, LA US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  247","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","1945-10-07","29.99755","-90.27772","-1.0","NEW ORLEANS AIRPORT, LA US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  244","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","1945-10-08","29.99755","-90.27772","-1.0","NEW ORLEANS AIRPORT, LA US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  232","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","1945-10-09","29.99755","-90.27772","-1.0","NEW ORLEANS AIRPORT, LA US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  222","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012916","1945-10-10","29.99755","-90.27772","-1.0","NEW ORLEANS AIRPORT, LA US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  175","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
