"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00013740","1939-03-01","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","    0",",,X,null","    0",",,X,",,,"  156",",,X","   56",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-02","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","    5",",,X,null","    0","T,,X,",,,"   56",",,X","  -22",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-03","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","    0",",,X,null","    0",",,X,",,,"   94",",,X","  -44",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-04","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","   43",",,X,null","    0",",,X,",,,"   94",",,X","  -11",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-05","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","    0",",,X,null","    0",",,X,",,,"  261",",,X","   89",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-06","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","  191",",,X,null","    0",",,X,",,,"  189",",,X","   78",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-07","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","    0",",,X,null","    0",",,X,",,,"  150",",,X","   11",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-08","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","    0",",,X,null","    0",",,X,",,,"  106",",,X","    0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-09","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","    0",",,X,null","    0",",,X,",,,"  239",",,X","   17",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-10","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","    0","T,,X,null","    0",",,X,",,,"  128",",,X","   17",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-11","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","  155",",,X,null","    0",",,X,",,,"   61",",,X","   22",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-12","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","   91",",,X,null","    0",",,X,",,,"   61",",,X","   17",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-13","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","    0",",,X,null","    0",",,X,",,,"  167",",,X","    0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-14","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","    0",",,X,null","    0",",,X,",,,"  172",",,X","  -11",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-15","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","  234",",,X,null","    0",",,X,",,,"  200",",,X","   56",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-16","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","   20",",,X,null","    0",",,X,",,,"  122",",,X","   -6",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-17","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","    0",",,X,null","    0",",,X,",,,"  111",",,X","  -39",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-18","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","    0",",,X,null","    0",",,X,",,,"   83",",,X","  -28",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-19","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","    0",",,X,null","    0",",,X,",,,"   72",",,X","  -39",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-20","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","    0","T,,X,null","    0",",,X,",,,"  128",",,X","    0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-21","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","    0",",,X,null","    0",",,X,",,,"  117",",,X","   -6",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-22","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","    0",",,X,null","    0",",,X,",,,"  144",",,X","  -17",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-23","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","    0",",,X,null","    0",",,X,",,,"  161",",,X","  -28",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-24","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","    0",",,X,null","    0",",,X,",,,"  289",",,X","   22",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-25","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","    0",",,X,null","    0",",,X,",,,"  300",",,X","  139",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013740","1939-03-26","37.51154","-77.32338","50.7","RICHMOND INTERNATIONAL AIRPORT, VA US","    0",",,X,null","    0",",,X,",,,"  294",",,X","  128",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
