"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT12","WT12_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WV03","WV03_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00022521","1939-06-01","21.32402","-157.93946","1.9","HONOLULU INTERNATIONAL AIRPORT, HI US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  262","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00022521","1939-06-02","21.32402","-157.93946","1.9","HONOLULU INTERNATIONAL AIRPORT, HI US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  254","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00022521","1939-06-03","21.32402","-157.93946","1.9","HONOLULU INTERNATIONAL AIRPORT, HI US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  256","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00022521","1939-06-04","21.32402","-157.93946","1.9","HONOLULU INTERNATIONAL AIRPORT, HI US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  261","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00022521","1939-06-05","21.32402","-157.93946","1.9","HONOLULU INTERNATIONAL AIRPORT, HI US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  252","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00022521","1939-06-06","21.32402","-157.93946","1.9","HONOLULU INTERNATIONAL AIRPORT, HI US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  251","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00022521","1939-06-07","21.32402","-157.93946","1.9","HONOLULU INTERNATIONAL AIRPORT, HI US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  261","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00022521","1939-06-08","21.32402","-157.93946","1.9","HONOLULU INTERNATIONAL AIRPORT, HI US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  263","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00022521","1939-06-09","21.32402","-157.93946","1.9","HONOLULU INTERNATIONAL AIRPORT, HI US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  257","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00022521","1939-06-10","21.32402","-157.93946","1.9","HONOLULU INTERNATIONAL AIRPORT, HI US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  256","H,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
