"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USW00093844","1945-04-01","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0",",,X","    0",",,X",,,"  250",",,X","  200",",,X",,,,,,,,,,
"USW00093844","1945-04-02","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","   38",",,X","    0",",,X",,,"  233",",,X","  200",",,X","    1",",,X",,,,,"    1",",,X","    1",",,X"
"USW00093844","1945-04-03","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0",",,X","    0",",,X",,,"  267",",,X","  189",",,X",,,,,,,"    1",",,X",,
"USW00093844","1945-04-04","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0",",,X","    0",",,X",,,"  239",",,X","  200",",,X","    1",",,X",,,,,"    1",",,X",,
"USW00093844","1945-04-05","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0","T,,X","    0",",,X",,,"  228",",,X","  161",",,X",,,,,,,"    1",",,X","    1",",,X"
"USW00093844","1945-04-06","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","  284",",,X","    0",",,X",,,"  156",",,X","   61",",,X","    1",",,X",,,,,,,"    1",",,X"
"USW00093844","1945-04-07","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    8",",,X","    0",",,X",,,"  194",",,X","   83",",,X","    1",",,X",,,,,"    1",",,X","    1",",,X"
"USW00093844","1945-04-08","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0",",,X","    0",",,X",,,"  233",",,X","  128",",,X",,,,,,,"    1",",,X",,
"USW00093844","1945-04-09","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0",",,X","    0",",,X",,,"  239",",,X","  144",",,X",,,,,,,"    1",",,X",,
"USW00093844","1945-04-10","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0",",,X","    0",",,X",,,"  250",",,X","  144",",,X",,,,,,,"    1",",,X",,
"USW00093844","1945-04-11","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    5",",,X","    0",",,X",,,"  206",",,X","  178",",,X","    1",",,X",,,,,"    1",",,X","    1",",,X"
"USW00093844","1945-04-12","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0","T,,X","    0",",,X",,,"  244",",,X","  172",",,X","    1",",,X",,,,,"    1",",,X","    1",",,X"
"USW00093844","1945-04-13","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0","T,,X","    0",",,X",,,"  244",",,X","  178",",,X","    1",",,X",,,,,"    1",",,X","    1",",,X"
"USW00093844","1945-04-14","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0",",,X","    0",",,X",,,"  256",",,X","  183",",,X","    1",",,X",,,,,"    1",",,X",,
"USW00093844","1945-04-15","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0",",,X","    0",",,X",,,"  250",",,X","  194",",,X",,,,,,,"    1",",,X",,
"USW00093844","1945-04-16","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0",",,X","    0",",,X",,,"  250",",,X","  206",",,X",,,,,,,,,,
"USW00093844","1945-04-17","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","   76",",,X","    0",",,X",,,"  250",",,X","  206",",,X",,,"    1",",,X",,,"    1",",,X","    1",",,X"
"USW00093844","1945-04-18","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0","T,,X","    0",",,X",,,"  272",",,X","  194",",,X",,,,,,,"    1",",,X","    1",",,X"
"USW00093844","1945-04-19","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0",",,X","    0",",,X",,,"  222",",,X","  150",",,X",,,,,,,,,,
"USW00093844","1945-04-20","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0",",,X","    0",",,X",,,"  244",",,X","  178",",,X",,,,,,,"    1",",,X",,
"USW00093844","1945-04-21","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","   15",",,X","    0",",,X",,,"  278",",,X","  194",",,X",,,"    1",",,X",,,"    1",",,X","    1",",,X"
"USW00093844","1945-04-22","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0","T,,X","    0",",,X",,,"  239",",,X","  211",",,X",,,,,,,"    1",",,X",,
"USW00093844","1945-04-23","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","  394",",,X","    0",",,X",,,"  217",",,X","  178",",,X","    1",",,X",,,,,"    1",",,X","    1",",,X"
"USW00093844","1945-04-24","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0","T,,X","    0",",,X",,,"  278",",,X","  194",",,X","    1",",,X",,,,,"    1",",,X","    1",",,X"
"USW00093844","1945-04-25","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","   48",",,X","    0",",,X",,,"  239",",,X","  183",",,X",,,"    1",",,X",,,"    1",",,X","    1",",,X"
"USW00093844","1945-04-26","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0",",,X","    0",",,X",,,"  317",",,X","  222",",,X",,,,,,,"    1",",,X",,
"USW00093844","1945-04-27","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0",",,X","    0",",,X",,,"  244",",,X","  156",",,X",,,,,,,,,,
"USW00093844","1945-04-28","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","  178",",,X","    0",",,X",,,"  233",",,X","  161",",,X","    1",",,X","    1",",,X",,,"    1",",,X","    1",",,X"
"USW00093844","1945-04-29","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","   36",",,X","    0",",,X",,,"  228",",,X","  172",",,X",,,"    1",",,X",,,"    1",",,X","    1",",,X"
"USW00093844","1945-04-30","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0",",,X","    0",",,X",,,"  217",",,X","  144",",,X",,,,,,,"    1",",,X",,
"USW00093844","1945-05-01","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US",,,,,,,"  228",",,X","  122",",,X",,,,,,,"    1",",,X",,
"USW00093844","1945-05-02","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0","T,,X",,,,,"  233",",,X","  167",",,X",,,,,,,"    1",",,X","    1",",,X"
"USW00093844","1945-05-03","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","  201",",,X",,,,,"  222",",,X","  156",",,X",,,"    1",",,X","    1",",,X","    1",",,X","    1",",,X"
"USW00093844","1945-05-04","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0","T,,X",,,,,"  183",",,X","  122",",,X",,,,,,,"    1",",,X","    1",",,X"
"USW00093844","1945-05-05","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0","T,,X",,,,,"  189",",,X","  111",",,X","    1",",,X",,,,,"    1",",,X","    1",",,X"
"USW00093844","1945-05-06","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US",,,,,,,"  233",",,X","  139",",,X",,,,,,,"    1",",,X",,
"USW00093844","1945-05-07","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US",,,,,,,"  244",",,X","  150",",,X",,,,,,,"    1",",,X",,
"USW00093844","1945-05-08","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","   13",",,X",,,,,"  267",",,X","  178",",,X","    1",",,X",,,,,"    1",",,X","    1",",,X"
"USW00093844","1945-05-09","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US",,,,,,,"  256",",,X","  178",",,X",,,,,,,,,,
"USW00093844","1945-05-10","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US",,,,,,,"  278",",,X","  189",",,X","    1",",,X",,,,,"    1",",,X",,
"USW00093844","1945-05-11","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US",,,,,,,"  233",",,X","  178",",,X",,,,,,,"    1",",,X",,
"USW00093844","1945-05-12","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","   23",",,X",,,,,"  278",",,X","  178",",,X","    1",",,X","    1",",,X",,,"    1",",,X","    1",",,X"
"USW00093844","1945-05-13","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","   25",",,X",,,,,"  261",",,X","  194",",,X","    1",",,X",,,,,"    1",",,X","    1",",,X"
"USW00093844","1945-05-14","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","  206",",,X",,,,,"  250",",,X","  183",",,X","    1",",,X",,,,,,,"    1",",,X"
"USW00093844","1945-05-15","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US",,,,,,,"  267",",,X","  211",",,X","    1",",,X",,,,,"    1",",,X",,
"USW00093844","1945-05-16","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US",,,,,,,"  261",",,X","  222",",,X","    1",",,X",,,,,"    1",",,X",,
"USW00093844","1945-05-17","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    8",",,X",,,,,"  256",",,X","  217",",,X",,,"    1",",,X",,,"    1",",,X","    1",",,X"
"USW00093844","1945-05-18","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US",,,,,,,"  256",",,X","  156",",,X",,,,,,,"    1",",,X",,
"USW00093844","1945-05-19","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US",,,,,,,"  256",",,X","  139",",,X",,,,,,,"    1",",,X",,
"USW00093844","1945-05-20","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US",,,,,,,"  233",",,X","  172",",,X",,,,,,,"    1",",,X",,
"USW00093844","1945-05-21","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US",,,,,,,"  244",",,X","  211",",,X",,,,,,,,,,
"USW00093844","1945-05-22","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US",,,,,,,"  272",",,X","  211",",,X",,,,,,,"    1",",,X",,
"USW00093844","1945-05-23","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0","T,,X",,,,,"  272",",,X","  211",",,X",,,,,,,"    1",",,X","    1",",,X"
"USW00093844","1945-05-24","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0","T,,X",,,,,"  261",",,X","  189",",,X","    1",",,X",,,,,,,"    1",",,X"
"USW00093844","1945-05-25","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US",,,,,,,"  272",",,X","  200",",,X","    1",",,X",,,,,"    1",",,X",,
"USW00093844","1945-05-26","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0",",,X",,,,,"  256",",,X","  228",",,X",,,,,,,,,,
"USW00093844","1945-05-27","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0","T,,X",,,,,"  256",",,X","  222",",,X",,,,,,,,,"    1",",,X"
"USW00093844","1945-05-28","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US",,,,,,,"  250",",,X","  206",",,X",,,,,,,,,,
"USW00093844","1945-05-29","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US",,,,,,,"  344",",,X","  222",",,X",,,,,,,"    1",",,X",,
"USW00093844","1945-05-30","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US",,,,,,,"  322",",,X","  233",",,X",,,,,,,"    1",",,X",,
"USW00093844","1945-05-31","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US",,,,,,,"  350",",,X","  233",",,X",,,,,,,"    1",",,X",,
"USW00093844","1945-06-01","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US",,,,,,,"  339",",,X","  250",",,X",,,,,,,"    1",",,X",,
"USW00093844","1945-06-02","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US",,,,,,,"  333",",,X","  250",",,X",,,,,,,"    1",",,X",,
"USW00093844","1945-06-03","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US",,,,,,,"  328",",,X","  233",",,X",,,"    1",",,X",,,"    1",",,X",,
"USW00093844","1945-06-04","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US",,,,,,,"  283",",,X","  217",",,X",,,,,,,,,,
"USW00093844","1945-06-05","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US",,,,,,,"  267",",,X","  200",",,X",,,,,,,"    1",",,X",,
"USW00093844","1945-06-06","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US",,,,,,,"  256",",,X","  194",",,X",,,,,,,"    1",",,X",,
"USW00093844","1945-06-07","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","   91",",,X",,,,,"  317",",,X","  222",",,X",,,"    1",",,X",,,"    1",",,X","    1",",,X"
"USW00093844","1945-06-08","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","  109",",,X",,,,,"  300",",,X","  206",",,X",,,"    1",",,X",,,"    1",",,X","    1",",,X"
"USW00093844","1945-06-09","32.31667","-80.68333","10.1","PARRIS ISLAND MCAS, SC US","    0","T,,X",,,,,"  294",",,X","  228",",,X",,,"    1",",,X",,,"    1",",,X","    1",",,X"
